Date,mlrent,sales count,mlprice,zhvi
2018-01,1332,5164,323782,205413
2018-02,1336,5688,326159,205883
2018-03,1339,6983,329640,206480
2018-04,1343,7559,334507,207497
2018-05,1345,8739,338163,208590
2018-06,1348,8872,339665,209480
2018-07,1350,8590,336465,210137
2018-08,1352,8527,331465,211081
2018-09,1353,6719,324967,212021
2018-10,1355,7117,321500,212808
2018-11,1357,6060,318167,213285
2018-12,1359,6645,316500,213810
2019-01,1361,4473,315000,214870
2019-02,1363,5119,316333,215801
2019-03,1365,6967,319667,216542
2019-04,1367,7623,324667,216692
2019-05,1369,8905,328672,217048
2019-06,1371,8312,330006,217495
2019-07,1373,9080,328306,218074
2019-08,1374,8542,324592,218495
2019-09,1376,7310,320258,218602
2019-10,1378,7482,317458,218961
2019-11,1378,6470,315133,219301
2019-12,1378,7787,312950,219823
2020-01,1379,5090,310447,219966
2020-02,1379,5920,309814,220386
2020-03,1378,7777,312660,221586
2020-04,1378,6328,315163,223022
2020-05,1378,6248,319830,224049
2020-06,1378,9091,324255,224248
2020-07,1378,10652,330422,224502
2020-08,1381,9086,335388,225229
2020-09,1383,9092,339967,226767
2020-10,1385,8961,341300,228395
2020-11,1389,8144,340997,230446
2020-12,1393,9836,337497,232664
2021-01,1397,6266,335493,235267
2021-02,1401,5876,334697,238103
2021-03,1406,9252,339530,240771
2021-04,1410,9459,347197,243883
2021-05,1414,9969,357660,247688
2021-06,1419,11237,366293,252689
